,Voltage Power Supply,Voltage Drop Resistor,Signal,Current (A),Resistance (Ω),Power(Watts),Resistivity (μΩcm)
0,22.81,2.079,1.1000000000000001e-08,0.3198461538461539,71.3155363155363,7.29569076923077,42.44972399734304
1,24.24,2.146,1.6e-08,0.33015384615384613,73.42031686859274,8.002929230769231,43.70256956463854
2,25.48,2.2030000000000003,2.16e-08,0.338923076923077,75.17930095324556,8.635760000000001,44.7495839007414
3,26.76,2.261,2.8700000000000002e-08,0.34784615384615386,76.93056169836356,9.308363076923078,45.79200101093069
4,28.06,2.318,3.77e-08,0.3566153846153846,78.68421052631578,10.00662769230769,46.83583959899749
5,29.35,2.375,4.8399999999999997e-08,0.36538461538461536,80.3263157894737,10.724038461538461,47.81328320802006
6,30.65,2.43,6.12e-08,0.3738461538461539,81.98559670781891,11.458384615384617,48.800950421320785
7,31.97,2.4859999999999998,7.65e-08,0.3824615384615384,83.59010458567981,12.227295384615383,49.75601463433322
8,33.25,2.5340000000000003,9.51e-08,0.3898461538461539,85.29005524861877,12.962384615384616,50.76789002893974
9,34.56,2.59,1.15e-07,0.3984615384615384,86.73359073359075,13.770830769230768,51.627137341423065
10,35.86,2.6439999999999997,1.3800000000000002e-07,0.4067692307692307,88.15809379727686,14.586744615384614,52.47505583171242
11,37.17,2.696,1.6399999999999999e-07,0.4147692307692308,89.61609792284867,15.416972307692308,53.34291543026706
12,38.47,2.748,1.93e-07,0.4227692307692308,90.995269286754,16.263932307692308,54.16385076592499
13,39.76,2.799,2.26e-07,0.4306153846153846,92.3329760628796,17.121267692307693,54.96010479933309
14,41.6,2.867,2.77e-07,0.4410769230769231,94.31461457970003,18.3488,56.139651535535734
15,42.4,2.8989999999999996,3.02e-07,0.44599999999999995,95.06726457399104,18.910399999999996,56.58765748451847
16,43.7,2.949,3.46e-07,0.4536923076923077,96.32078670735844,19.826353846153847,57.33380161152288
17,45.0,2.998,3.94e-07,0.4612307692307693,97.56504336224148,20.755384615384617,58.074430572762786
18,46.3,3.045,4.37e-07,0.46846153846153843,98.83415435139572,21.689769230769226,58.82985378059269
19,47.6,3.093,4.95e-07,0.47584615384615386,100.03233107015842,22.650276923076923,59.54305420842763
20,48.6,3.127,5.35e-07,0.48107692307692307,101.02334505916214,23.38033846153846,60.132943487596506
21,50.2,3.1839999999999997,6.15e-07,0.4898461538461538,102.48115577889449,24.590276923076924,61.00068796362767
22,51.5,3.2310000000000003,6.88e-07,0.49707692307692314,103.60569483132156,25.59946153846154,61.67005644721522
23,52.8,3.275,7.620000000000001e-07,0.5038461538461538,104.79389312977099,26.603076923076923,62.3773173391494
24,54.6,3.338,8.78e-07,0.5135384615384615,106.32115038945477,28.039199999999997,63.28639904134212
25,55.4,3.363,8.92e-07,0.5173846153846153,107.07701457032412,28.663107692307687,63.736318196621504
26,55.9,3.38,9.25e-07,0.52,107.5,29.068,63.98809523809524
27,56.5,3.4010000000000002,9.67e-07,0.5232307692307693,107.98294619229637,29.562538461538463,64.27556320970022
28,57.8,3.443,1.06e-06,0.5296923076923077,109.11995352889922,30.616215384615383,64.95235329101143
29,59.1,3.488,1.16e-06,0.5366153846153846,110.13474770642202,31.713969230769226,65.55639744429881
30,60.4,3.53,1.26e-06,0.543076923076923,111.21813031161474,32.80184615384615,66.20126804262783
31,61.7,3.571,1.36e-06,0.5493846153846154,112.30747689722767,33.89703076923077,66.8496886293022
32,63.0,3.614,1.47e-06,0.5559999999999999,113.30935251798563,35.028,67.44604316546764
33,64.3,3.655,1.59e-06,0.5623076923076923,114.35020519835841,36.15638461538461,68.06559833235619
34,65.6,3.696,1.71e-06,0.5686153846153846,115.36796536796535,37.301169230769226,68.67140795712224
35,66.9,3.736,1.84e-06,0.5747692307692308,116.39453961456103,38.45206153846154,69.28246405628632
36,68.2,3.779,1.98e-06,0.5813846153846154,117.30616565228897,39.65043076923077,69.82509860255296
37,69.5,3.8169999999999997,2.11e-06,0.5872307692307692,118.35210898611476,40.81253846153846,70.4476839203064
38,70.8,3.8560000000000003,2.25e-06,0.5932307692307692,119.34647302904564,42.00073846153846,71.03956727919383
39,72.1,3.985,2.4e-06,0.6130769230769231,117.603513174404,44.202846153846146,70.00209117524048
40,73.4,3.935,2.55e-06,0.6053846153846154,121.24523506988565,44.43523076923078,72.16978277969385
41,74.7,3.9739999999999998,2.71e-06,0.6113846153846153,122.18168092601914,45.67043076923076,72.72719102739234
42,76.0,4.013,2.89e-06,0.6173846153846154,123.09992524296037,46.92123076923077,73.27376502557165
43,77.3,4.05,3.05e-06,0.6230769230769231,124.06172839506172,48.16384615384615,73.84626690182246
44,78.6,4.086,3.22e-06,0.6286153846153847,125.03671071953008,49.40916923076923,74.42661352352981
45,79.9,4.12,3.41e-06,0.6338461538461538,126.05582524271846,50.64430769230769,75.03322931114194
46,81.2,4.16,3.6e-06,0.64,126.875,51.968,75.52083333333333
47,82.4,4.2,3.77e-06,0.6461538461538462,127.52380952380953,53.243076923076934,75.90702947845806
48,83.7,4.23,3.97e-06,0.6507692307692309,128.61702127659572,54.46938461538463,76.5577507598784
49,85.0,4.27,4.17e-06,0.6569230769230768,129.39110070257613,55.83846153846153,77.01851232296198
50,86.3,4.3,4.37e-06,0.6615384615384615,130.45348837209303,57.09076923076923,77.65088593576967
51,87.6,4.34,4.59e-06,0.6676923076923077,131.19815668202764,58.48984615384615,78.09414088215931
52,88.9,4.38,4.82e-06,0.6738461538461539,131.92922374429224,59.90492307692308,78.529299847793
53,90.2,4.41,5.05e-06,0.6784615384615384,132.94784580498867,61.19723076923077,79.13562250296945
54,91.5,4.45,5.28e-06,0.6846153846153846,133.65168539325842,62.64230769230769,79.55457463884429
55,92.8,4.48,5.49e-06,0.6892307692307693,134.6428571428571,63.96061538461538,80.14455782312923
56,94.1,4.52,5.74e-06,0.6953846153846153,135.320796460177,65.43569230769229,80.54809313105774
57,95.4,4.55,5.87e-06,0.7,136.2857142857143,66.78,81.12244897959185
58,96.7,4.58,6.12e-06,0.7046153846153846,137.23799126637553,68.1363076923077,81.68928051569972
59,98.0,4.62,6.36e-06,0.7107692307692308,137.87878787878788,69.65538461538462,82.07070707070707
60,99.3,4.65,6.63e-06,0.7153846153846154,138.80645161290323,71.03769230769232,82.62288786482335
61,100.6,4.69,6.88e-06,0.7215384615384616,139.4243070362473,72.58676923076924,82.9906589501472
62,101.9,4.72,7.13e-06,0.7261538461538461,140.32838983050848,73.99507692307692,83.52880347054077
63,103.2,4.75,7.4e-06,0.7307692307692307,141.22105263157897,75.41538461538461,84.06015037593986
64,104.5,4.78,7.6e-06,0.7353846153846154,142.10251046025104,76.8476923076923,84.58482765491134
65,105.8,4.82,7.8e-06,0.7415384615384616,142.67634854771782,78.45476923076923,84.92639794507014
66,107.1,4.85,7.92e-06,0.7461538461538461,143.53608247422682,79.9130769230769,85.43814432989691
67,108.4,4.88,8.07e-06,0.7507692307692307,144.38524590163937,81.38338461538463,85.94359875097582
68,109.7,4.92,8.23e-06,0.7569230769230769,144.9288617886179,83.03446153846154,86.26717963608208
